type,freq_tar,range_tar,likelihood,effect,word,category,subcategory
attack,11571,723,165.3,0,ATTACK,NOUNS,NOUN.ACT
rly,11545,717,164.928,0,,,
shy,11536,722,164.8,0,SHY,ADJECTIVES,ADJ.ALL
joining,11533,720,164.757,0,JOINING,NOUNS,NOUN.ACT
touch,11499,723,164.271,0,TOUCH,NOUNS,NOUN.ACT
bully,11478,720,163.971,0,BULLY,ADJECTIVES,ADJ.ALL
alln,11477,717,163.957,0,,,
loved,11444,724,163.485,0,LOVED,ADJECTIVES,ADJ.ALL
peoplen,11438,721,163.4,0,,,
uhn,11436,715,163.371,0,,,
bang,11424,695,163.2,0,BANG,ADVERBS,ADV.ALL
added,11417,722,163.1,0,ADDED,ADJECTIVES,ADJ.ALL
match,11416,713,163.085,0,MATCH,NOUNS,NOUN.ARTIFACT
tree,11406,716,162.942,0,TREE,NOUNS,NOUN.PERSON
drawing,11386,722,162.657,0,DRAWING,NOUNS,NOUN.ACT
drinking,11374,717,162.485,0,DRINKING,NOUNS,NOUN.ACT
cam,11372,667,162.457,0,CAM,NOUNS,NOUN.ARTIFACT
cloudy,11328,356,161.828,0,CLOUDY,ADJECTIVES,ADJ.ALL
system,11327,715,161.814,0,SYSTEM,NOUNS,NOUN.ARTIFACT
especially,11316,723,161.657,0,ESPECIALLY,ADVERBS,ADV.ALL
crow,11289,298,161.271,0,CROW,NOUNS,NOUN.ANIMAL
computer,11278,719,161.114,0,COMPUTER,NOUNS,NOUN.ARTIFACT
la,11266,705,160.942,0,LA,NOUNS,NOUN.COMMUNICATION
flex,11245,712,160.642,0,FLEX,NOUNS,NOUN.ACT
starting,11244,723,160.628,0,STARTING,ADJECTIVES,ADJ.ALL
homework,11243,723,160.614,0,HOMEWORK,NOUNS,NOUN.ACT
ugly,11225,719,160.357,0,UGLY,ADJECTIVES,ADJ.ALL
vcn,11222,711,160.314,0,,,
yeh,11210,708,160.142,0,,,
ello,11206,701,160.085,0,,,
version,11184,719,159.771,0,VERSION,NOUNS,NOUN.ACT
ash,11173,661,159.614,0,ASH,NOUNS,NOUN.PLANT
japan,11142,710,159.171,0,JAPAN,NOUNS,NOUN.ARTIFACT
offline,11137,714,159.099,0,,,
links,11115,715,158.785,0,LINKS,NOUNS,NOUN.ARTIFACT
heh,11095,710,158.499,0,,,
tickets,11093,510,158.471,0,,,
prob,11092,724,158.457,0,,,
kpop,11090,706,158.428,0,,,
none,11084,722,158.342,0,NONE,ADJECTIVES,ADJ.ALL
needed,11077,727,158.242,0,NEEDED,ADJECTIVES,ADJ.ALL
couldnt,11068,724,158.114,0,,,
dreams,11066,714,158.085,0,,,
screen,11063,721,158.042,0,SCREEN,NOUNS,NOUN.ARTIFACT
girlfriend,11052,723,157.885,0,GIRLFRIEND,NOUNS,NOUN.PERSON
ms,11047,716,157.814,0,MS,NOUNS,NOUN.COMMUNICATION
drama,11025,722,157.499,0,DRAMA,NOUNS,NOUN.ATTRIBUTE
thinks,11017,722,157.385,0,,,
nwhat,11011,721,157.299,0,,,
sick,11009,721,157.271,0,SICK,ADJECTIVES,ADJ.ALL
selfies,11003,661,157.185,0,,,
calls,11001,724,157.157,0,,,
proud,11001,722,157.157,0,PROUD,ADJECTIVES,ADJ.ALL
cookies,10993,707,157.042,0,,,
dinner,10991,718,157.014,0,DINNER,NOUNS,NOUN.FOOD
dare,10958,718,156.542,0,DARE,NOUNS,NOUN.COMMUNICATION
wall,10926,721,156.085,0,WALL,NOUNS,NOUN.ARTIFACT
behind,10909,723,155.842,0,BEHIND,ADJECTIVES,ADJ.ALL
barely,10897,725,155.671,0,BARELY,ADVERBS,ADV.ALL
series,10895,709,155.642,0,SERIES,NOUNS,NOUN.COGNITION
rose,10888,679,155.542,0,ROSE,ADJECTIVES,ADJ.ALL
nap,10880,718,155.428,0,NAP,NOUNS,NOUN.ACT
welc,10878,476,155.399,0,,,
shoot,10873,712,155.328,0,SHOOT,NOUNS,NOUN.ACT
warning,10872,718,155.314,0,WARNING,ADJECTIVES,ADJ.ALL
twice,10864,721,155.199,0,TWICE,ADVERBS,ADV.ALL
stand,10837,721,154.814,0,STAND,NOUNS,NOUN.ACT
lurking,10833,710,154.756,0,LURKING,ADJECTIVES,ADJ.ALL
everyday,10820,720,154.571,0,EVERYDAY,ADJECTIVES,ADJ.ALL
honey,10820,703,154.571,0,HONEY,ADJECTIVES,ADJ.ALL
heck,10804,706,154.342,0,HECK,NOUNS,NOUN.COMMUNICATION
atleast,10802,726,154.314,0,,,
le,10799,712,154.271,0,LE,NOUNS,NOUN.STATE
snow,10791,691,154.156,0,SNOW,NOUNS,NOUN.ARTIFACT
gm,10781,710,154.014,0,GM,NOUNS,NOUN.QUANTITY
sit,10771,718,153.871,0,SIT,VERBS,VERB.CONTACT
lives,10747,722,153.528,0,,,
sadn,10722,720,153.171,0,,,
keeps,10716,726,153.085,0,,,
pictures,10705,722,152.928,0,,,
summer,10702,711,152.885,0,SUMMER,NOUNS,NOUN.TIME
axel,10700,131,152.856,0,,,
stfu,10686,685,152.656,0,,,
sorryn,10676,717,152.514,0,,,
episode,10652,719,152.171,0,EPISODE,NOUNS,NOUN.ARTIFACT
react,10647,714,152.099,0,REACT,VERBS,VERB.CHANGE
lin,10647,295,152.099,0,LIN,NOUNS,NOUN.PERSON
realized,10641,723,152.014,0,REALIZED,ADJECTIVES,ADJ.ALL
yk,10618,664,151.685,0,,,
egirl,10608,661,151.542,0,,,
lots,10598,718,151.399,0,LOTS,NOUNS,NOUN.QUANTITY
questions,10596,720,151.371,0,,,
uwun,10578,682,151.114,0,,,
notice,10576,722,151.085,0,NOTICE,NOUNS,NOUN.COGNITION
fat,10576,719,151.085,0,FAT,ADJECTIVES,ADJ.ALL
oops,10574,719,151.056,0,,,
san,10571,692,151.014,0,,,
height,10553,713,150.756,0,HEIGHT,NOUNS,NOUN.ATTRIBUTE
breadn,10545,515,150.642,0,,,
todayn,10517,719,150.242,0,,,
illegal,10513,720,150.185,0,ILLEGAL,ADJECTIVES,ADJ.ALL
spend,10504,722,150.056,0,SPEND,VERBS,VERB.POSSESSION
rain,10492,709,149.885,0,RAIN,NOUNS,NOUN.ATTRIBUTE
drugs,10485,717,149.785,0,,,
conversation,10476,722,149.656,0,CONVERSATION,NOUNS,NOUN.COMMUNICATION
zelda,10475,435,149.642,0,,,
community,10467,713,149.528,0,COMMUNITY,NOUNS,NOUN.GROUP
fam,10467,710,149.528,0,,,
nitron,10466,693,149.514,0,,,
noice,10465,704,149.499,0,,,
nno,10433,719,149.042,0,,,
nim,10409,723,148.699,0,NIM,NOUNS,NOUN.ACT
hmmmn,10409,713,148.699,0,,,
levels,10404,722,148.628,0,,,
dam,10404,713,148.628,0,DAM,NOUNS,NOUN.ANIMAL
mf,10403,674,148.614,0,MF,NOUNS,NOUN.ATTRIBUTE
pie,10392,675,148.456,0,PIE,NOUNS,NOUN.COMMUNICATION
simps,10376,563,148.228,0,,,
lazy,10366,721,148.085,0,LAZY,ADJECTIVES,ADJ.ALL
meat,10356,714,147.942,0,MEAT,NOUNS,NOUN.COGNITION
animal,10351,718,147.871,0,ANIMAL,ADJECTIVES,ADJ.ALL
bullying,10336,716,147.656,0,BULLYING,ADJECTIVES,ADJ.ALL
butn,10332,716,147.599,0,,,
piece,10329,722,147.556,0,PIECE,NOUNS,NOUN.ARTIFACT
grab,10305,709,147.213,0,GRAB,NOUNS,NOUN.ACT
colour,10299,718,147.128,0,COLOUR,ADJECTIVES,ADJ.ALL
ran,10270,719,146.713,0,,,
kitty,10240,688,146.285,0,KITTY,NOUNS,NOUN.ANIMAL
lick,10238,660,146.256,0,LICK,NOUNS,NOUN.ACT
nand,10215,721,145.928,0,,,
partner,10198,713,145.685,0,PARTNER,NOUNS,NOUN.PERSON
yesss,10166,716,145.228,0,,,
door,10155,718,145.071,0,DOOR,NOUNS,NOUN.ARTIFACT
sauce,10127,712,144.671,0,SAUCE,NOUNS,NOUN.FOOD
rap,10092,711,144.171,0,RAP,NOUNS,NOUN.ACT
force,10055,723,143.642,0,FORCE,NOUNS,NOUN.ACT
matching,10046,656,143.513,0,MATCHING,ADJECTIVES,ADJ.ALL
state,10034,722,143.342,0,STATE,NOUNS,NOUN.TOPS
certain,10033,721,143.328,0,CERTAIN,ADJECTIVES,ADJ.ALL
wth,10027,716,143.242,0,,,
mm,10012,722,143.028,0,MM,NOUNS,NOUN.QUANTITY
shot,10005,720,142.928,0,SHOT,ADJECTIVES,ADJ.ALL
starts,10005,719,142.928,0,,,
near,10000,720,142.856,0,NEAR,ADJECTIVES,ADJ.ALL
noticed,9994,721,142.771,0,NOTICED,ADJECTIVES,ADJ.ALL
awww,9993,700,142.756,0,,,
huhn,9980,713,142.571,0,,,
devil,9980,705,142.571,0,DEVIL,NOUNS,NOUN.COMMUNICATION
orange,9975,718,142.499,0,ORANGE,ADJECTIVES,ADJ.ALL
baka,9967,631,142.385,0,,,
mayo,9944,548,142.056,0,MAYO,NOUNS,NOUN.FOOD
salt,9942,687,142.028,0,SALT,ADJECTIVES,ADJ.ALL
banana,9938,705,141.971,0,BANANA,NOUNS,NOUN.FOOD
newport,9938,74,141.971,0,NEWPORT,NOUNS,NOUN.LOCATION
amount,9935,725,141.928,0,AMOUNT,NOUNS,NOUN.TOPS
mocha,9929,315,141.842,0,MOCHA,NOUNS,NOUN.FOOD
jump,9921,717,141.728,0,JUMP,NOUNS,NOUN.ACT
request,9916,722,141.656,0,REQUEST,NOUNS,NOUN.COMMUNICATION
sis,9915,714,141.642,0,SIS,NOUNS,NOUN.PERSON
edgy,9883,700,141.185,0,EDGY,ADJECTIVES,ADJ.ALL
hella,9852,719,140.742,0,,,
rightn,9848,716,140.685,0,,,
fighting,9840,725,140.571,0,FIGHTING,ADJECTIVES,ADJ.ALL
sadly,9835,722,140.499,0,SADLY,ADVERBS,ADV.ALL
reach,9818,718,140.256,0,REACH,NOUNS,NOUN.ACT
learning,9817,720,140.242,0,LEARNING,NOUNS,NOUN.COGNITION
strong,9796,721,139.942,0,STRONG,ADJECTIVES,ADJ.ALL
dennis,9791,113,139.871,0,,,
warm,9790,717,139.856,0,WARM,ADJECTIVES,ADJ.ALL
videos,9783,714,139.756,0,,,
truth,9772,719,139.599,0,TRUTH,NOUNS,NOUN.ATTRIBUTE
often,9752,722,139.313,0,OFTEN,ADVERBS,ADV.ALL
shit,9750,643,139.285,0,SHIT,NOUNS,NOUN.ATTRIBUTE
wholesome,9749,696,139.27,0,WHOLESOME,ADJECTIVES,ADJ.ALL
city,9733,720,139.042,0,CITY,NOUNS,NOUN.GROUP
extra,9725,726,138.928,0,EXTRA,ADJECTIVES,ADJ.ALL
candy,9722,716,138.885,0,CANDY,NOUNS,NOUN.FOOD
yen,9706,707,138.656,0,YEN,NOUNS,NOUN.FEELING
twig,9706,220,138.656,0,TWIG,NOUNS,NOUN.PLANT
download,9701,710,138.585,0,DOWNLOAD,VERBS,VERB.POSSESSION
gold,9684,710,138.342,0,GOLD,ADJECTIVES,ADJ.ALL
dis,9679,717,138.27,0,DIS,NOUNS,NOUN.PERSON
levi,9677,559,138.242,0,LEVI,NOUNS,NOUN.PERSON
damnn,9671,713,138.156,0,,,
pull,9653,724,137.899,0,PULL,NOUNS,NOUN.ACT
characters,9618,712,137.399,0,,,
private,9612,723,137.313,0,PRIVATE,ADJECTIVES,ADJ.ALL
nyou,9606,720,137.228,0,,,
netflix,9606,715,137.228,0,,,
youll,9606,717,137.228,0,,,
facts,9602,714,137.17,0,,,
legs,9601,718,137.156,0,LEGS,NOUNS,NOUN.ATTRIBUTE
whois,9592,514,137.028,0,,,
double,9578,715,136.828,0,DOUBLE,ADJECTIVES,ADJ.ALL
kicked,9574,723,136.77,0,,,
bn,9571,717,136.728,0,,,
legal,9565,703,136.642,0,LEGAL,ADJECTIVES,ADJ.PERT
asf,9549,701,136.413,0,,,
yellow,9537,713,136.242,0,YELLOW,ADJECTIVES,ADJ.ALL
wa,9528,715,136.113,0,WA,NOUNS,NOUN.LOCATION
daniel,9491,453,135.585,0,DANIEL,NOUNS,NOUN.COMMUNICATION
problems,9485,724,135.499,0,,,
foot,9484,713,135.485,0,FOOT,NOUNS,NOUN.ACT
omgn,9482,715,135.456,0,,,
quiet,9462,722,135.17,0,QUIET,ADJECTIVES,ADJ.ALL
yuh,9459,708,135.128,0,,,
drive,9446,713,134.942,0,DRIVE,NOUNS,NOUN.ACT
uni,9441,689,134.87,0,,,
hw,9441,699,134.87,0,,,
cus,9433,688,134.756,0,,,
peeps,9427,708,134.67,0,,,
rd,9426,723,134.656,0,,,
movies,9423,718,134.613,0,,,
yh,9412,674,134.456,0,,,
ez,9409,714,134.413,0,,,
channels,9402,709,134.313,0,CHANNELS,NOUNS,NOUN.COMMUNICATION
sakura,9389,547,134.128,0,,,
covid,9388,550,134.113,0,,,
yuna,9384,159,134.056,0,,,
stick,9379,722,133.985,0,STICK,NOUNS,NOUN.ACT
oooh,9373,710,133.899,0,,,
decent,9360,717,133.713,0,DECENT,ADJECTIVES,ADJ.ALL
rychu,9359,58,133.699,0,,,
dan,9348,645,133.542,0,,,
finen,9330,717,133.285,0,,,
lying,9328,720,133.256,0,LYING,ADJECTIVES,ADJ.ALL
yuri,9322,607,133.17,0,,,
due,9320,727,133.142,0,DUE,ADJECTIVES,ADJ.ALL
nit,9315,722,133.07,0,NIT,NOUNS,NOUN.ANIMAL
sub,9314,706,133.056,0,SUB,NOUNS,NOUN.ARTIFACT
wb,9305,702,132.928,0,WB,NOUNS,NOUN.QUANTITY
toast,9278,670,132.542,0,TOAST,NOUNS,NOUN.FOOD
shows,9277,722,132.528,0,,,
nudes,9268,580,132.399,0,,,
higher,9256,719,132.228,0,HIGHER,ADJECTIVES,ADJ.ALL
van,9243,677,132.042,0,VAN,NOUNS,NOUN.ARTIFACT
lifen,9231,712,131.87,0,,,
based,9223,718,131.756,0,BASED,ADJECTIVES,ADJ.PPL
energy,9202,722,131.456,0,ENERGY,NOUNS,NOUN.ATTRIBUTE
sitting,9202,722,131.456,0,SITTING,ADJECTIVES,ADJ.ALL
kept,9198,724,131.399,0,KEPT,ADJECTIVES,ADJ.ALL
technically,9193,713,131.328,0,TECHNICALLY,ADVERBS,ADV.ALL
killing,9190,723,131.285,0,KILLING,ADJECTIVES,ADJ.ALL
somewhere,9182,727,131.17,0,SOMEWHERE,ADVERBS,ADV.ALL
genshin,9178,345,131.113,0,,,
smoke,9176,705,131.085,0,SMOKE,NOUNS,NOUN.ACT
reply,9173,726,131.042,0,REPLY,NOUNS,NOUN.COMMUNICATION
expect,9160,715,130.856,0,EXPECT,VERBS,VERB.BODY
ramen,9159,691,130.842,0,,,
aaa,9149,721,130.699,0,AAA,NOUNS,NOUN.STATE
cult,9143,689,130.613,0,CULT,NOUNS,NOUN.COGNITION
experience,9113,721,130.185,0,EXPERIENCE,NOUNS,NOUN.COGNITION
yean,9112,710,130.17,0,,,
ara,9095,541,129.928,0,ARA,NOUNS,NOUN.ANIMAL
everyonen,9074,712,129.628,0,,,
hern,9071,709,129.585,0,,,
ali,9056,500,129.37,0,ALI,NOUNS,NOUN.PERSON
radical,9054,246,129.342,0,RADICAL,ADJECTIVES,ADJ.PERT
paper,9048,719,129.256,0,PAPER,ADJECTIVES,ADJ.ALL
yt,9047,721,129.242,0,,,
bypass,9042,598,129.17,0,BYPASS,NOUNS,NOUN.ARTIFACT
homies,9009,672,128.699,0,,,
korean,9006,707,128.656,0,KOREAN,ADJECTIVES,ADJ.PERT
heyy,8999,708,128.556,0,,,
justice,8999,585,128.556,0,JUSTICE,NOUNS,NOUN.ACT
dumb,8988,721,128.399,0,DUMB,ADJECTIVES,ADJ.ALL
ignored,8983,717,128.327,0,IGNORED,ADJECTIVES,ADJ.ALL
form,8980,718,128.285,0,FORM,NOUNS,NOUN.TOPS
soup,8975,699,128.213,0,SOUP,NOUNS,NOUN.FOOD
suren,8969,713,128.127,0,,,
moving,8965,723,128.07,0,MOVING,ADJECTIVES,ADJ.ALL
jo,8964,677,128.056,0,,,
noo,8956,715,127.942,0,,,
missing,8947,720,127.813,0,MISSING,ADJECTIVES,ADJ.ALL
favourite,8942,715,127.742,0,FAVOURITE,ADJECTIVES,ADJ.ALL
younger,8935,720,127.642,0,YOUNGER,ADJECTIVES,ADJ.ALL
bettern,8922,716,127.456,0,,,
wh,8906,710,127.227,0,,,
buddy,8900,712,127.142,0,BUDDY,NOUNS,NOUN.PERSON
hype,8893,688,127.042,0,HYPE,NOUNS,NOUN.COMMUNICATION
popular,8869,724,126.699,0,POPULAR,ADJECTIVES,ADJ.ALL
dez,8868,84,126.685,0,,,
warnings,8862,582,126.599,0,,,
continue,8858,724,126.542,0,CONTINUE,VERBS,VERB.CHANGE
caps,8852,708,126.456,0,,,
plan,8850,719,126.427,0,PLAN,NOUNS,NOUN.ARTIFACT
vs,8831,715,126.156,0,,,
humans,8829,714,126.127,0,HUMANS,NOUNS,NOUN.GROUP
advertising,8821,685,126.013,0,ADVERTISING,NOUNS,NOUN.ACT
henlo,8817,660,125.956,0,,,
honest,8815,722,125.927,0,HONEST,ADJECTIVES,ADJ.ALL
mommy,8813,706,125.899,0,MOMMY,NOUNS,NOUN.PERSON
per,8809,718,125.842,0,,,
changing,8779,723,125.413,0,CHANGING,ADJECTIVES,ADJ.ALL
gen,8761,689,125.156,0,GEN,NOUNS,NOUN.COMMUNICATION
feelings,8755,721,125.07,0,FEELINGS,NOUNS,NOUN.FEELING
miso,8750,177,124.999,0,,,
tiktok,8746,672,124.942,0,,,
difference,8737,718,124.813,0,DIFFERENCE,NOUNS,NOUN.ATTRIBUTE
breakfast,8715,708,124.499,0,BREAKFAST,NOUNS,NOUN.FOOD
images,8699,708,124.27,0,,,
lemon,8697,672,124.242,0,LEMON,NOUNS,NOUN.ARTIFACT
velvet,8696,320,124.227,0,VELVET,ADJECTIVES,ADJ.ALL
everytime,8695,723,124.213,0,,,
canada,8691,698,124.156,0,CANADA,NOUNS,NOUN.LOCATION
thicc,8691,699,124.156,0,,,
op,8688,712,124.113,0,,,
speed,8688,721,124.113,0,SPEED,NOUNS,NOUN.ACT
realize,8685,721,124.07,0,REALIZE,VERBS,VERB.COGNITION
smell,8657,715,123.67,0,SMELL,NOUNS,NOUN.ACT
personal,8657,719,123.67,0,PERSONAL,ADJECTIVES,ADJ.PERT
atm,8649,716,123.556,0,ATM,NOUNS,NOUN.ARTIFACT
breaking,8636,716,123.37,0,BREAKING,ADJECTIVES,ADJ.PPL
uses,8623,718,123.185,0,,,
hero,8619,706,123.127,0,HERO,NOUNS,NOUN.COGNITION
hola,8610,707,122.999,0,,,
shiro,8605,379,122.927,0,,,
animen,8600,691,122.856,0,,,
gotten,8598,716,122.827,0,,,
plsn,8583,710,122.613,0,,,
grow,8580,721,122.57,0,GROW,VERBS,VERB.BODY
caught,8579,724,122.556,0,,,
peace,8575,716,122.499,0,PEACE,NOUNS,NOUN.COMMUNICATION
prolly,8566,710,122.37,0,,,
mark,8566,710,122.37,0,MARK,NOUNS,NOUN.ACT
finna,8556,695,122.227,0,,,
nwelcome,8553,580,122.185,0,,,
goin,8550,720,122.142,0,,,
huge,8547,714,122.099,0,HUGE,ADJECTIVES,ADJ.ALL
recently,8539,716,121.985,0,RECENTLY,ADVERBS,ADV.ALL
feed,8532,713,121.885,0,FEED,NOUNS,NOUN.FOOD
welcomeee,8532,520,121.885,0,,,
original,8526,719,121.799,0,ORIGINAL,ADJECTIVES,ADJ.ALL
workn,8524,716,121.77,0,,,
news,8518,715,121.685,0,NEWS,NOUNS,NOUN.ATTRIBUTE
fishy,8516,448,121.656,0,FISHY,ADJECTIVES,ADJ.ALL
wifi,8506,712,121.513,0,WIFI,NOUNS,NOUN.ARTIFACT
panda,8501,650,121.442,0,PANDA,NOUNS,NOUN.ANIMAL
wel,8500,640,121.427,0,,,
secret,8499,719,121.413,0,SECRET,ADJECTIVES,ADJ.ALL
nya,8498,599,121.399,0,,,
pro,8482,717,121.17,0,PRO,ADJECTIVES,ADJ.ALL
update,8482,706,121.17,0,UPDATE,NOUNS,NOUN.COMMUNICATION
weed,8475,695,121.07,0,WEED,NOUNS,NOUN.ARTIFACT
angry,8472,721,121.027,0,ANGRY,ADJECTIVES,ADJ.ALL
muchn,8471,711,121.013,0,,,
public,8469,719,120.985,0,PUBLIC,ADJECTIVES,ADJ.ALL
writing,8463,723,120.899,0,WRITING,NOUNS,NOUN.ACT
mac,8456,703,120.799,0,MAC,NOUNS,NOUN.ARTIFACT
access,8441,702,120.585,0,ACCESS,NOUNS,NOUN.ACT
goodbye,8426,720,120.37,0,GOODBYE,NOUNS,NOUN.COMMUNICATION
ram,8422,657,120.313,0,RAM,NOUNS,NOUN.ANIMAL
jus,8420,696,120.285,0,,,
lowkey,8419,711,120.27,0,,,
truen,8388,708,119.827,0,,,
pfps,8381,712,119.727,0,,,
mai,8381,540,119.727,0,,,
og,8378,708,119.685,0,,,
rob,8368,676,119.542,0,ROB,VERBS,VERB.POSSESSION
doctor,8359,715,119.413,0,DOCTOR,NOUNS,NOUN.ACT
store,8349,714,119.27,0,STORE,NOUNS,NOUN.ARTIFACT
interested,8341,715,119.156,0,INTERESTED,ADJECTIVES,ADJ.ALL
es,8337,706,119.099,0,ES,NOUNS,NOUN.SUBSTANCE
thingn,8324,712,118.913,0,,,
maki,8321,337,118.87,0,,,
steam,8320,687,118.856,0,STEAM,NOUNS,NOUN.SUBSTANCE
spent,8319,720,118.842,0,SPENT,ADJECTIVES,ADJ.ALL
welcomee,8309,505,118.699,0,,,
assume,8308,714,118.685,0,ASSUME,VERBS,VERB.BODY
lunch,8293,718,118.47,0,LUNCH,NOUNS,NOUN.FOOD
removed,8284,716,118.342,0,REMOVED,ADJECTIVES,ADJ.ALL
average,8277,715,118.242,0,AVERAGE,ADJECTIVES,ADJ.ALL
urself,8260,714,117.999,0,,,
rate,8260,715,117.999,0,RATE,NOUNS,NOUN.ATTRIBUTE
oni,8260,694,117.999,0,ONI,NOUNS,NOUN.GROUP
ss,8259,717,117.985,0,SS,NOUNS,NOUN.GROUP
gae,8255,657,117.927,0,,,
heyyy,8254,714,117.913,0,,,
doubt,8246,715,117.799,0,DOUBT,NOUNS,NOUN.ATTRIBUTE
pats,8243,606,117.756,0,,,
fault,8239,719,117.699,0,FAULT,NOUNS,NOUN.ACT
weak,8239,716,117.699,0,WEAK,ADJECTIVES,ADJ.ALL
byen,8238,714,117.685,0,,,
lilly,8235,213,117.642,0,,,
pedo,8233,589,117.613,0,,,
recommend,8232,712,117.599,0,RECOMMEND,VERBS,VERB.CHANGE
dev,8232,566,117.599,0,,,
paid,8227,712,117.527,0,PAID,ADJECTIVES,ADJ.ALL
aki,8218,340,117.399,0,,,
smash,8212,693,117.313,0,SMASH,ADVERBS,ADV.ALL
shouldnt,8208,720,117.256,0,,,
deserve,8191,719,117.013,0,DESERVE,VERBS,VERB.STATIVE
coz,8186,663,116.942,0,,,
shush,8184,710,116.913,0,SHUSH,VERBS,VERB.CHANGE
deadn,8170,712,116.713,0,,,
hopefully,8168,715,116.685,0,HOPEFULLY,ADVERBS,ADV.ALL
simple,8152,719,116.456,0,SIMPLE,ADJECTIVES,ADJ.ALL
weebs,8149,664,116.413,0,,,
abuse,8129,713,116.127,0,ABUSE,NOUNS,NOUN.ACT
meaning,8127,714,116.099,0,MEANING,ADJECTIVES,ADJ.ALL
noob,8123,694,116.042,0,,,
decided,8114,723,115.913,0,DECIDED,ADJECTIVES,ADJ.ALL
acting,8114,721,115.913,0,ACTING,ADJECTIVES,ADJ.ALL
