type,freq_tar,range_tar,likelihood,effect,word,category,subcategory
auto,8106,717,115.799,0,AUTO,NOUNS,NOUN.ARTIFACT
bri,8093,540,115.613,0,,,
somethingn,8089,711,115.556,0,,,
boyfriend,8085,719,115.499,0,BOYFRIEND,NOUNS,NOUN.PERSON
became,8080,721,115.427,0,,,
ended,8062,724,115.17,0,ENDED,ADJECTIVES,ADJ.ALL
mention,8055,723,115.07,0,MENTION,NOUNS,NOUN.COMMUNICATION
breathtaking,8050,169,114.999,0,BREATHTAKING,ADJECTIVES,ADJ.ALL
bullied,8048,721,114.97,0,BULLIED,ADJECTIVES,ADJ.ALL
chatting,8046,706,114.942,0,,,
sign,8042,719,114.884,0,SIGN,ADJECTIVES,ADJ.ALL
wearing,8039,713,114.842,0,WEARING,ADJECTIVES,ADJ.ALL
failed,8031,721,114.727,0,FAILED,ADJECTIVES,ADJ.ALL
front,8031,722,114.727,0,FRONT,ADJECTIVES,ADJ.ALL
sage,8019,372,114.556,0,SAGE,ADJECTIVES,ADJ.ALL
science,7999,720,114.27,0,SCIENCE,NOUNS,NOUN.COGNITION
shhh,7994,709,114.199,0,,,
heaven,7993,705,114.184,0,HEAVEN,NOUNS,NOUN.COGNITION
cursed,7991,702,114.156,0,CURSED,ADJECTIVES,ADJ.ALL
burn,7989,719,114.127,0,BURN,NOUNS,NOUN.ACT
cyanide,7985,187,114.07,0,CYANIDE,NOUNS,NOUN.SUBSTANCE
fellow,7985,710,114.07,0,FELLOW,NOUNS,NOUN.PERSON
biggest,7980,720,113.999,0,BIGGEST,ADJECTIVES,ADJ.ALL
revive,7978,687,113.97,0,REVIVE,VERBS,VERB.BODY
josh,7972,491,113.884,0,JOSH,VERBS,VERB.COMMUNICATION
socks,7968,683,113.827,0,,,
vid,7961,712,113.727,0,,,
schooln,7952,700,113.599,0,,,
buying,7950,707,113.57,0,BUYING,NOUNS,NOUN.ACT
virus,7940,683,113.427,0,VIRUS,NOUNS,NOUN.ANIMAL
metal,7938,700,113.399,0,METAL,ADJECTIVES,ADJ.ALL
neither,7938,716,113.399,0,NEITHER,ADVERBS,ADV.ALL
size,7937,706,113.384,0,SIZE,ADJECTIVES,ADJ.ALL
prove,7935,705,113.356,0,PROVE,VERBS,VERB.COGNITION
cereal,7932,691,113.313,0,CEREAL,ADJECTIVES,ADJ.PERT
drout,7916,97,113.084,0,,,
choice,7915,721,113.07,0,CHOICE,ADJECTIVES,ADJ.ALL
haru,7913,341,113.042,0,,,
boomer,7907,610,112.956,0,BOOMER,NOUNS,NOUN.PERSON
given,7904,723,112.913,0,GIVEN,ADJECTIVES,ADJ.ALL
bunch,7902,714,112.884,0,BUNCH,NOUNS,NOUN.GROUP
thanksn,7892,712,112.742,0,,,
bigger,7883,717,112.613,0,BIGGER,ADJECTIVES,ADJ.ALL
inn,7870,715,112.427,0,INN,NOUNS,NOUN.ARTIFACT
multiple,7865,719,112.356,0,MULTIPLE,ADJECTIVES,ADJ.ALL
box,7847,719,112.099,0,BOX,NOUNS,NOUN.ACT
issues,7844,718,112.056,0,,,
mimi,7839,330,111.984,0,,,
deku,7830,541,111.856,0,,,
maid,7820,642,111.713,0,MAID,NOUNS,NOUN.PERSON
faster,7811,722,111.584,0,FASTER,ADVERBS,ADV.ALL
dani,7810,267,111.57,0,,,
purple,7808,711,111.542,0,PURPLE,ADJECTIVES,ADJ.ALL
mi,7804,701,111.484,0,MI,NOUNS,NOUN.COMMUNICATION
hrs,7803,715,111.47,0,,,
brown,7794,699,111.342,0,BROWN,ADJECTIVES,ADJ.ALL
duden,7793,705,111.327,0,,,
beans,7792,680,111.313,0,,,
common,7790,718,111.284,0,COMMON,ADJECTIVES,ADJ.ALL
dollars,7775,723,111.07,0,,,
thigh,7774,618,111.056,0,THIGH,NOUNS,NOUN.BODY
hotn,7773,704,111.042,0,,,
along,7766,723,110.942,0,ALONG,ADVERBS,ADV.ALL
nhow,7760,713,110.856,0,,,
bee,7754,693,110.77,0,BEE,NOUNS,NOUN.ANIMAL
exam,7752,707,110.742,0,EXAM,NOUNS,NOUN.COMMUNICATION
whoever,7749,715,110.699,0,,,
trouble,7742,720,110.599,0,TROUBLE,NOUNS,NOUN.ACT
funn,7742,702,110.599,0,,,
appreciate,7734,715,110.484,0,APPRECIATE,VERBS,VERB.CHANGE
yess,7732,712,110.456,0,,,
fit,7728,715,110.399,0,FIT,ADJECTIVES,ADJ.ALL
reminds,7728,720,110.399,0,,,
premium,7724,706,110.342,0,PREMIUM,ADJECTIVES,ADJ.ALL
seo,7719,54,110.27,0,,,
blind,7719,717,110.27,0,BLIND,ADJECTIVES,ADJ.ALL
yr,7717,715,110.242,0,YR,NOUNS,NOUN.TIME
tbhn,7711,693,110.156,0,,,
colors,7708,711,110.113,0,COLORS,NOUNS,NOUN.ARTIFACT
friendsn,7707,702,110.099,0,,,
control,7704,717,110.056,0,CONTROL,NOUNS,NOUN.ACT
smile,7702,708,110.027,0,SMILE,NOUNS,NOUN.COMMUNICATION
wild,7700,705,109.999,0,WILD,ADJECTIVES,ADJ.ALL
note,7700,720,109.999,0,NOTE,NOUNS,NOUN.ATTRIBUTE
build,7692,718,109.884,0,BUILD,NOUNS,NOUN.ATTRIBUTE
ayy,7685,694,109.784,0,,,
accidentally,7684,717,109.77,0,ACCIDENTALLY,ADVERBS,ADV.ALL
corpse,7679,572,109.699,0,CORPSE,NOUNS,NOUN.BODY
advice,7671,716,109.584,0,ADVICE,NOUNS,NOUN.COMMUNICATION
luv,7665,694,109.499,0,,,
kat,7665,559,109.499,0,KAT,NOUNS,NOUN.ARTIFACT
roll,7656,712,109.37,0,ROLL,NOUNS,NOUN.ACT
kay,7653,617,109.327,0,,,
stab,7651,657,109.299,0,STAB,NOUNS,NOUN.ACT
cards,7649,684,109.27,0,CARDS,NOUNS,NOUN.ACT
player,7649,711,109.27,0,PLAYER,NOUNS,NOUN.PERSON
helpn,7643,711,109.184,0,,,
etc,7640,711,109.142,0,,,
mika,7637,295,109.099,0,,,
yee,7633,704,109.042,0,,,
dino,7628,584,108.97,0,,,
jen,7618,310,108.827,0,,,
thinkn,7613,717,108.756,0,,,
mrs,7611,495,108.727,0,MRS,NOUNS,NOUN.PERSON
windows,7611,674,108.727,0,,,
fuck,7608,586,108.684,0,FUCK,NOUNS,NOUN.ACT
